Date,Country/Region,Province/State,Admin2,Confirmed,Deaths,Recovered,Latitude,Longitude,FIPS,Active Cases,Previous Confirmed,Previous Deaths,Previous Recovered,Previous Active,Prev2 Confirmed,Population,Daily Confirmed,Daily Deaths,Daily Recovered,Daily Active,Previous Daily Confirmed
2020-04-01,US,Alabama,Autauga,8,0,0,32.53952745,-86.64408227,1001.0,8,7,0,0,7,6,55601,1,0,0,1,1
2020-04-01,US,Alabama,Baldwin,20,1,0,30.72774991,-87.72207058,1003.0,19,19,1,0,18,18,218022,1,0,0,1,1
2020-04-01,US,Alabama,Bibb,3,0,0,32.99642064,-87.12511459999996,1007.0,3,3,0,0,3,2,22400,0,0,0,0,1
2020-04-01,US,Alabama,Blount,5,0,0,33.98210918,-86.56790593,1009.0,5,5,0,0,5,5,57840,0,0,0,0,0
2020-04-01,US,Alabama,Bullock,3,0,0,32.10030533,-85.71265535,1011.0,3,3,0,0,3,3,10138,0,0,0,0,0
2020-04-01,US,Alabama,Butler,1,0,0,31.75300095,-86.68057478,1013.0,1,1,0,0,1,1,19680,0,0,0,0,0
2020-04-01,US,Alabama,Calhoun,11,0,0,33.77483727,-85.82630386,1015.0,11,9,0,0,9,8,114277,2,0,0,2,1
2020-04-01,US,Alabama,Chambers,42,4,0,32.91360079,-85.39072749,1017.0,38,36,4,0,32,33,33615,6,0,0,6,3
2020-04-01,US,Alabama,Cherokee,2,0,0,34.17805983,-85.60638968,1019.0,2,2,0,0,2,2,26032,0,0,0,0,0
2020-04-01,US,Alabama,Chilton,13,0,0,32.85044126,-86.7173256,1021.0,13,11,0,0,11,10,44153,2,0,0,2,1
2020-04-01,US,Alabama,Choctaw,4,0,0,32.02227341,-88.26564429999998,1023.0,4,3,0,0,3,2,12841,1,0,0,1,1
2020-04-01,US,Alabama,Clay,2,0,0,33.26984193,-85.85836077,1027.0,2,2,0,0,2,2,13275,0,0,0,0,0
2020-04-01,US,Alabama,Cleburne,6,0,0,33.67679204,-85.52005899,1029.0,6,5,0,0,5,5,14987,1,0,0,1,0
2020-04-01,US,Alabama,Colbert,4,0,0,34.69847452,-87.80168544,1033.0,4,4,0,0,4,4,54762,0,0,0,0,0
2020-04-01,US,Alabama,Coosa,4,0,0,32.93690146,-86.24847739,1037.0,4,4,0,0,4,3,10715,0,0,0,0,1
2020-04-01,US,Alabama,Covington,3,0,0,31.2477854,-86.45050893,1039.0,3,2,0,0,2,2,36986,1,0,0,1,0
2020-04-01,US,Alabama,Crenshaw,1,0,0,31.72941803,-86.31593104,1041.0,1,1,0,0,1,1,13824,0,0,0,0,0
2020-04-01,US,Alabama,Cullman,9,1,0,34.13020303,-86.86888037,1043.0,8,8,0,0,8,8,83442,1,1,0,0,0
2020-04-01,US,Alabama,Dallas,2,0,0,32.32688101,-87.10866709999998,1047.0,2,2,0,0,2,2,38310,0,0,0,0,0
2020-04-01,US,Alabama,DeKalb,5,0,0,34.45946862,-85.80782906,1049.0,5,4,0,0,4,4,71385,1,0,0,1,0
2020-04-01,US,Alabama,Elmore,14,0,0,32.59785413,-86.14415284,1051.0,14,13,0,0,13,13,81887,1,0,0,1,0
2020-04-01,US,Alabama,Escambia,1,0,0,31.1256789,-87.15918694,1053.0,1,1,0,0,1,1,36748,0,0,0,0,0
2020-04-01,US,Alabama,Etowah,10,1,0,34.04567266,-86.04051873,1055.0,9,8,0,0,8,6,102501,2,1,0,1,2
2020-04-01,US,Alabama,Fayette,1,0,0,33.72076938,-87.73886638,1057.0,1,1,0,0,1,1,16433,0,0,0,0,0
2020-04-01,US,Alabama,Franklin,3,0,0,34.44235334,-87.84289505,1059.0,3,3,0,0,3,3,31363,0,0,0,0,0
